name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Aaniiih Nakoda College,Montana,MT,Public,2 Year,,2380,2380,2380,2380,,,,,,
Abilene Christian University,Texas,TX,Private,4 Year,10350,34850,45200,34850,45200,,,,,,
Abraham Baldwin Agricultural College,Georgia,GA,Public,2 Year,8474,4128,12602,12550,21024,,,,,,
Academy College,Minnesota,MN,For Profit,2 Year,,17661,17661,17661,17661,,,,,,
Academy of Art University,California,CA,For Profit,4 Year,16648,27810,44458,27810,44458,,,,,,
Adams State University,Colorado,CO,Public,4 Year,8782,9440,18222,20456,29238,16,Colorado,44400,81400,56,3
Adelphi University,New York,NY,Private,4 Year,16030,38660,54690,38660,54690,,,,,,
Adirondack Community College,New York,NY,Public,2 Year,11660,5375,17035,9935,21595,,,,,,
Adrian College,Michigan,MI,Private,4 Year,11318,37087,48405,37087,48405,,,,,,
Advanced Technology Institute,Virginia,VA,For Profit,2 Year,,13680,13680,13680,13680,,,,,,
Adventist University of Health Sciences,Florida,FL,Private,4 Year,4200,15150,19350,15150,19350,14,Florida,51600,89800,88,5
Agnes Scott College,Georgia,GA,Private,4 Year,12330,41160,53490,41160,53490,14,Georgia,46000,83600,57,26
Aiken Technical College,South Carolina,SC,Public,2 Year,,5160,5160,8010,8010,,,,,,
Aims Community College,Colorado,CO,Public,2 Year,,2281,2281,13018,13018,,,,,,
Alabama Agricultural and Mechanical University,Alabama,AL,Public,4 Year,8379,9698,18077,17918,26297,,,,,,
Alabama Southern Community College,Alabama,AL,Public,2 Year,,4440,4440,8880,8880,,,,,,
Alabama State University,Alabama,AL,Public,4 Year,5422,11068,16490,19396,24818,20,Alabama,39800,71500,61,16
Alamance Community College,North Carolina,NC,Public,2 Year,,2310,2310,8070,8070,,,,,,
Alaska Bible College,Alaska,AK,Private,4 Year,5700,9300,15000,9300,15000,,,,,,
Alaska Pacific University,Alaska,AK,Private,4 Year,7300,20830,28130,20830,28130,3,Alaska,50300,90000,67,6
